File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
./projects/obs-studio/./deps/ipc-util/ipc-util/pipe-windows.c,52,7,5,5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732).",,,CWE-732,"	if (!SetSecurityDescriptorDacl(sd, true, NULL, false)) {",ccfde67d9ce29975be29592b3e56bd2d98143615bad10277c491c1aaeb9860c3,2.0.19,FF1060,https://cwe.mitre.org/data/definitions/732.html
./projects/obs-studio/./deps/ipc-util/ipc-util/pipe-windows.c,52,7,5,5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732).",,,CWE-732,"	if (!SetSecurityDescriptorDacl(sd, true, NULL, false)) {",ccfde67d9ce29975be29592b3e56bd2d98143615bad10277c491c1aaeb9860c3,2.0.19,FF1060,https://cwe.mitre.org/data/definitions/732.html
./projects/obs-studio/./libobs/util/platform-nix.c,434,18,5,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20).",Reconsider approach.,,"CWE-362, CWE-20","	ssize_t count = readlink(""/proc/self/exe"", exe, PATH_MAX - 1);",28a67af220611d75e6b4037674d6f57db61ec8f6e3055d6634be4970af8ef8f7,2.0.19,FF1035,https://cwe.mitre.org/data/definitions/362.html
./projects/obs-studio/./UI/auth-youtube.cpp,218,44,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,	QRandomGenerator *rng = QRandomGenerator::system();,ef97102ae2c6cdbd610c1fa14178e49eca5ff246983da6b6744f42ca51ab2468,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
./projects/obs-studio/./UI/obs-app.cpp,375,2,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"	strcpy(cmp_str, output_str);",1d09ee2e75114d15d1c6cfafc9afd4679a19fa1e730273c86dd6b747f5869bee,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,392,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(str, sizeof(str), msg, args);",0acd82a9f0e77e9ef278ce7d2bbf97e9fd53b92e497663307f3ee339b7b89e49,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./projects/obs-studio/./UI/obs-app.cpp,621,3,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"		strcpy(path, ent.path);",a41ef6491525174d4bc055ded3dc2b86eb16346c1749aba5659315728cc9783c,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,1472,2,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"	strcat(new_path, Str(""Untitled""));",9cd99ac7a229debe8d1a141abe0a2541f9194ea38314045080feca9d5a6411bb,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,1480,2,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"	strcpy(path, new_path);",b07e4ace4c1061fd2271b30e4646e785a948c3982c8ad9731822b40ef2130f6a,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,1496,3,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"		strcpy(new_path, path);",6bd596a5435bb129700f2ac453afe9f193bfe1ff1bb962c2012a038240071fff,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,1498,3,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"		strcat(new_path, file);",8c6c47a1c7f66e77a992761e6a36b21ebb52854f60944923ea4746bb5c3d6ae9,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,1525,2,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"	strcat(new_path, Str(""Untitled""));",9cd99ac7a229debe8d1a141abe0a2541f9194ea38314045080feca9d5a6411bb,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
./projects/obs-studio/./UI/obs-app.cpp,2577,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(text, MAX_CRASH_REPORT_SIZE, format, args);",10e5a79857803508451c59644fa3107cfe7dcf5ce35583293c5070d298a33c20,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./projects/obs-studio/./UI/obs-app.cpp,2612,16,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	size_t size = snprintf(nullptr, 0, CRASH_MESSAGE, absolutePath.c_str());",6a5320cfbc81649b7a3ee11d7c24b791b7bf3437b9e3be6b93294b56e54acbee,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
